Genre,Type,Avg Rating,Max Rating,Avg Viewers,Prime Example
Shounen,TV,7.75,9.26,140523,Fullmetal Alchemist: Brotherhood
Shounen,Movie,7.6,9.1,56803,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Military,TV,7.7,9.26,124959,Fullmetal Alchemist: Brotherhood
Sci-Fi,TV,7.5,9.25,121539,Gintama°
Sci-Fi,Movie,7.68,9.1,77914,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Space,TV,7.72,8.82,76766,Cowboy Bebop
Thriller,Movie,8.12,8.68,112144,Kara no Kyoukai 5: Mujun Rasen
Horror,Movie,7.82,8.33,85430,Berserk: Ougon Jidai-hen III - Kourin
School,Movie,8.06,9.37,72056,Kimi no Na wa.
Drama,TV,7.73,9.26,123714,Fullmetal Alchemist: Brotherhood
Historical,TV,7.82,9.25,104119,Gintama°
School,TV,7.46,9.15,130803,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou
Historical,Movie,7.9,9.1,68078,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Romance,TV,7.5,9.06,128864,Clannad: After Story
Mecha,TV,7.45,8.98,101159,Code Geass: Hangyaku no Lelouch R2
Shoujo,TV,7.62,8.76,99291,Natsume Yuujinchou Go
Shoujo,Movie,7.85,8.61,60703,Hotarubi no Mori e
Josei,TV,7.91,8.59,89205,Shouwa Genroku Rakugo Shinjuu
Shounen Ai,Movie,8.53,8.53,28864,Doukyuusei (Movie)
Psychological,Movie,7.97,8.5,86888,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
Police,Movie,7.97,8.42,57457,Detective Conan Movie 06: The Phantom of Baker Street
Demons,Movie,7.81,8.33,64094,Berserk: Ougon Jidai-hen III - Kourin
Shoujo Ai,TV,7.17,8.04,69147,Yuru Yuri San☆Hai!
Martial Arts,Movie,7.44,8.03,65889,Boruto: Naruto the Movie
Harem,Movie,7.44,7.87,55931,Sora no Otoshimono: Tokeijikake no Angeloid
Kids,Movie,7.3,7.81,47865,Digimon Adventure: Bokura no War Game!
Romance,Movie,7.94,9.37,88273,Kimi no Na wa.
Adventure,TV,7.64,9.26,138362,Fullmetal Alchemist: Brotherhood
Comedy,TV,7.57,9.25,120120,Gintama°
Thriller,TV,8.16,9.17,273803,Steins;Gate
Comedy,Movie,7.64,9.1,64029,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Music,TV,7.67,8.92,95684,Shigatsu wa Kimi no Uso
Slice of Life,Movie,8.14,8.84,88183,Ookami Kodomo no Ame to Yuki
Mystery,Movie,8.14,8.81,80395,Suzumiya Haruhi no Shoushitsu
Horror,TV,7.46,8.72,163858,Monster
Mecha,Movie,7.84,8.64,76711,Tengen Toppa Gurren Lagann Movie: Lagann-hen
Game,TV,7.63,8.52,172271,Chihayafuru 2
Magic,Movie,7.88,8.5,75034,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari
Harem,TV,7.19,8.39,130313,Ouran Koukou Host Club
Music,Movie,8.26,8.34,76685,K-On! Movie
Cars,Movie,8.16,8.33,74383,Redline
Dementia,TV,7.7,8.32,189583,Neon Genesis Evangelion
Cars,TV,8.18,8.24,45562,Initial D Fourth Stage
Game,Movie,7.26,8.04,53341,Death Billiards
Magic,TV,7.51,9.26,123507,Fullmetal Alchemist: Brotherhood
Samurai,TV,7.74,9.25,100231,Gintama°
Sports,TV,7.84,9.15,78376,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou
Samurai,Movie,8.25,9.1,66695,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Supernatural,TV,7.6,9.06,151043,Clannad: After Story
Seinen,TV,7.6,8.88,124201,Mushishi Zoku Shou 2nd Season
Vampire,TV,7.33,8.8,162261,Monogatari Series: Second Season
Seinen,Movie,8.09,8.75,63075,Mushishi Zoku Shou: Suzu no Shizuku
Psychological,TV,7.77,8.72,189926,Monster
Super Power,Movie,7.48,8.64,57984,Tengen Toppa Gurren Lagann Movie: Lagann-hen
Supernatural,Movie,7.91,9.37,92834,Kimi no Na wa.
Fantasy,TV,7.49,9.26,131730,Fullmetal Alchemist: Brotherhood
Parody,TV,7.68,9.25,118066,Gintama°
Super Power,TV,7.48,9.13,165084,Hunter x Hunter (2011)
Parody,Movie,8.39,9.1,53568,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Slice of Life,TV,7.63,9.06,115438,Clannad: After Story
Mystery,TV,7.69,8.88,157610,Mushishi Zoku Shou 2nd Season
Vampire,Movie,7.79,8.73,58373,Kizumonogatari II: Nekketsu-hen
Police,TV,7.66,8.72,218502,Monster
Space,Movie,7.99,8.64,63631,Tengen Toppa Gurren Lagann Movie: Lagann-hen
Martial Arts,TV,7.41,8.49,120687,Katanagatari
Sports,Movie,8.16,8.33,74383,Redline
Shounen Ai,TV,7.51,8.31,61849,Sekaiichi Hatsukoi 2
Drama,Movie,7.88,9.37,83840,Kimi no Na wa.
Action,TV,7.5,9.26,143393,Fullmetal Alchemist: Brotherhood
Action,Movie,7.72,9.1,70744,Gintama Movie: Kanketsu-hen - Yorozuya yo Eien Nare
Adventure,Movie,7.64,8.93,71329,Sen to Chihiro no Kamikakushi
Fantasy,Movie,7.63,8.84,68577,Ookami Kodomo no Ame to Yuki
Military,Movie,7.77,8.55,64036,Girls und Panzer der Film
Demons,TV,7.7,8.49,142894,Mononoke
Dementia,Movie,8.19,8.45,121984,Neon Genesis Evangelion: The End of Evangelion
Kids,TV,7.34,8.07,75690,Yume-iro Pâtissière
