Date,Avg Cost Per Day,Cost per Day,Number of Patients
06/26/2019,80,80,1
07/08/2020,100,200,2
08/04/2019,100,100,1
07/18/2020,80,80,1
09/21/2019,100,100,1
06/13/2020,100,300,3
06/08/2020,100,100,1
06/22/2019,91.67,275,3
07/13/2019,100,200,2
06/30/2019,75,75,1
07/01/2019,75,75,1
10/09/2019,100,100,1
07/29/2020,93.33,280,3
10/27/2019,100,100,1
06/25/2020,100,100,1
06/17/2019,80,80,1
10/21/2019,100,100,1
10/12/2019,100,100,1
10/08/2019,100,200,2
06/27/2020,90,180,2
06/07/2020,100,100,1
09/12/2019,100,100,1
07/17/2019,80,80,1
06/02/2019,100,100,1
10/23/2019,100,100,1
07/22/2019,100,300,3
08/09/2019,100,200,2
06/24/2019,90,180,2
07/29/2019,78.33,235,3
07/26/2019,90,360,4
08/02/2020,80,80,1
06/12/2020,92,460,5
06/10/2020,100,200,2
08/28/2019,100,200,2
07/16/2019,80,80,1
06/11/2020,100,300,3
08/01/2019,75,150,2
07/31/2019,77.5,155,2
06/14/2019,80,80,1
08/11/2019,100,100,1
06/18/2020,80,80,1
06/04/2019,100,100,1
06/24/2020,100,100,1
10/24/2019,100,100,1
06/11/2019,100,100,1
08/29/2019,100,100,1
06/13/2019,100,100,1
08/24/2019,100,100,1
07/03/2019,91.67,275,3
10/03/2019,100,100,1
06/08/2019,95,380,4
06/15/2019,80,80,1
07/30/2019,76.67,230,3
06/14/2020,93.33,280,3
07/21/2019,100,100,1
07/07/2019,94.29,660,7
07/10/2019,96,480,5
07/25/2019,95,380,4
08/02/2019,75,150,2
08/13/2019,100,100,1
06/05/2019,93.33,280,3
07/12/2019,86.67,260,3
06/21/2019,87.5,175,2
07/08/2019,92.5,740,8
08/06/2019,100,100,1
07/11/2020,100,300,3
07/30/2020,93.33,280,3
06/29/2019,75,75,1
07/15/2019,80,80,1
07/31/2020,100,200,2
07/27/2020,93.33,280,3
09/06/2019,100,200,2
07/06/2019,86.67,260,3
08/22/2019,100,100,1
07/12/2020,95,380,4
06/10/2019,90,180,2
06/19/2019,75,75,1
06/27/2019,80,80,1
07/02/2019,87.5,175,2
06/26/2020,100,200,2
09/23/2019,100,100,1
06/23/2019,90,180,2
07/06/2020,100,100,1
06/09/2019,90,180,2
07/17/2020,100,100,1
08/23/2019,100,100,1
07/20/2019,100,100,1
07/13/2020,100,300,3
08/01/2020,90,180,2
07/28/2020,100,200,2
08/07/2019,100,100,1
06/03/2019,100,100,1
09/09/2019,100,200,2
07/07/2020,100,200,2
08/14/2019,100,100,1
06/09/2020,93.33,280,3
08/26/2019,100,100,1
10/26/2019,100,100,1
06/15/2020,86.67,260,3
06/17/2020,100,100,1
07/25/2020,100,100,1
07/27/2019,88.75,355,4
07/11/2019,92,460,5
06/16/2020,100,100,1
07/05/2019,95,380,4
06/25/2019,80,160,2
08/10/2019,100,300,3
07/09/2020,93.33,280,3
06/18/2019,75,75,1
07/24/2020,100,100,1
07/24/2019,93.33,280,3
10/04/2019,100,100,1
06/28/2019,80,80,1
08/05/2019,100,200,2
09/03/2019,100,100,1
06/06/2019,100,100,1
07/18/2019,75,75,1
08/08/2019,100,100,1
08/27/2019,100,100,1
07/14/2019,90,180,2
06/07/2019,100,200,2
08/25/2019,100,200,2
07/09/2019,96,480,5
10/06/2019,100,100,1
07/10/2020,90,180,2
06/16/2019,80,80,1
09/08/2019,100,100,1
06/20/2019,87.5,175,2
07/19/2019,75,75,1
06/28/2020,100,100,1
06/29/2020,80,80,1
07/26/2020,100,200,2
06/06/2020,100,100,1
07/14/2020,86.67,260,3
07/28/2019,78.33,235,3
07/23/2019,95,380,4
06/12/2019,100,100,1
07/15/2020,90,180,2
07/16/2020,100,100,1
07/04/2019,93.75,375,4
