Date,Sales,Moving Avg Sales
08/01/2019,179.17,225.54
07/10/2019,395.36,243.94
02/15/2019,281.14,354.95
08/10/2019,353.93,248.13
01/21/2019,482.94,360.96
02/10/2019,474.2,272.82
08/18/2019,120.02,200.69
01/10/2019,110.34,209.89
11/03/2019,165.84,235.32
01/18/2019,445.9,301.43
10/25/2019,371.39,312.62
02/25/2019,55.61,156.08
07/06/2019,227.52,186.88
10/22/2019,15.32,206.61
08/08/2019,175.82,263.58
02/07/2019,389.09,204.26
01/25/2019,76.99,388.25
07/11/2019,490.9,283.29
12/23/2019,439.21,292.85
11/23/2019,20.35,238.44
05/03/2019,180.31,229.91
05/24/2019,226.77,213.35
06/16/2019,331.96,279.86
02/02/2019,163.02,242.79
12/13/2019,15.17,160.7
04/28/2019,453.74,266.07
05/16/2019,232.29,188.59
09/17/2019,68.87,132.51
04/11/2019,119.97,187.18
03/31/2019,171.11,296.43
07/12/2019,159.55,298.23
12/22/2019,489.87,295
10/20/2019,159.5,240.24
03/20/2019,242.14,214.69
08/09/2019,85.89,231.22
10/12/2019,398.56,240.36
04/16/2019,382.38,301.74
07/28/2019,372.01,287.03
05/31/2019,274.81,217.44
04/19/2019,162.88,327.08
12/27/2019,21,227.19
12/25/2019,7.83,267.12
07/22/2019,258.65,337.95
08/06/2019,56.29,256.01
11/19/2019,206.8,238.26
12/17/2019,368.19,279.56
12/07/2019,332.57,325.62
09/07/2019,487.02,318.32
08/13/2019,68.95,203.97
10/06/2019,212.39,286.03
05/20/2019,207.72,201.32
03/04/2019,275.08,207.05
07/21/2019,328.41,369
01/23/2019,456.74,391.88
09/26/2019,451.28,276.34
06/09/2019,383.88,140.27
11/13/2019,132.05,274.83
11/08/2019,257.96,276.31
11/17/2019,453.82,253.66
01/13/2019,322.32,276.31
04/24/2019,53.9,228.05
03/14/2019,327.36,206.04
02/26/2019,6.34,138.36
06/29/2019,5.25,205.48
10/04/2019,280.47,285.94
01/04/2019,27.15,
08/12/2019,205.16,202.16
09/12/2019,117.47,308.77
11/25/2019,116.95,149.27
11/05/2019,183.85,248.51
09/21/2019,401.32,226.38
04/30/2019,27.39,206.9
07/04/2019,215.46,151.2
10/18/2019,170.85,266.51
03/18/2019,38.85,196.25
11/14/2019,122,238.94
01/06/2019,424.03,
03/06/2019,345.9,261.93
06/19/2019,245.63,301.33
07/30/2019,220.17,254.37
05/08/2019,486.51,345.43
05/10/2019,262.45,357.73
05/13/2019,161.28,263.79
06/18/2019,368.25,331.21
09/16/2019,144.22,184.06
06/25/2019,272.94,259.28
09/18/2019,239.66,159.72
03/28/2019,319.42,259.28
08/17/2019,176.15,195.07
09/28/2019,432.74,312.07
04/10/2019,107.62,190.45
04/22/2019,141.24,247.24
04/17/2019,234.47,319.86
01/07/2019,401.03,159.81
09/01/2019,140.05,155.61
12/29/2019,347.58,176.88
01/29/2019,285.72,198.1
11/29/2019,407.56,193.46
11/30/2019,29.02,194.7
06/27/2019,244.13,240.58
03/17/2019,265.08,190.78
03/15/2019,333.2,192.3
05/19/2019,450.02,194.68
05/05/2019,440.47,270.11
05/11/2019,408.09,352.36
10/31/2019,27.6,243.74
12/19/2019,52.53,216.39
11/02/2019,476.47,245.75
04/02/2019,404.07,329.52
03/10/2019,362.28,231.83
03/29/2019,247.28,267.64
06/26/2019,346.8,273.73
05/01/2019,433.95,261.19
01/24/2019,375.91,440.95
10/08/2019,221.75,274.55
05/06/2019,372.22,304.96
02/28/2019,405.41,123.96
08/14/2019,378.23,192.66
10/02/2019,58.75,285.66
08/20/2019,307.52,246.53
02/18/2019,96.7,248.8
02/16/2019,132.24,305.92
12/02/2019,394.12,273.61
07/20/2019,311.16,353.18
12/28/2019,40.12,197.21
12/26/2019,153.93,281.6
10/19/2019,489.06,279.43
02/09/2019,475.48,230.58
05/23/2019,323.91,216.33
07/13/2019,89.77,278.55
12/06/2019,243.02,282.26
06/21/2019,104.96,315.53
10/01/2019,419.66,346.75
01/12/2019,268.57,290.84
06/04/2019,200.77,160.89
03/24/2019,43.12,214.39
03/08/2019,429.43,224.3
12/16/2019,454.25,247.19
10/13/2019,433.84,272
09/27/2019,319.92,307.58
03/16/2019,137.17,204.67
03/12/2019,173.16,197.76
03/22/2019,188.74,205.73
10/29/2019,9.74,345.81
01/15/2019,425.47,307.85
12/03/2019,308.86,275.57
03/09/2019,50.56,188.8
07/25/2019,322.76,355.23
11/27/2019,282.93,184.76
04/27/2019,151.08,259.06
07/07/2019,326.5,233.47
11/28/2019,182.1,157.46
01/26/2019,41.05,323.49
05/25/2019,444.97,270.2
06/03/2019,38.6,178.02
01/27/2019,103.52,268.25
05/22/2019,14.26,203.24
10/09/2019,299.87,308.99
07/19/2019,491.09,321.56
08/16/2019,217.59,220.47
03/27/2019,269.77,272.08
12/15/2019,195.46,184.82
12/09/2019,17.62,236.2
08/30/2019,480.77,223.32
05/29/2019,116.9,253.34
07/09/2019,185.16,258.47
12/05/2019,316.62,305.76
05/04/2019,445.73,272.01
04/06/2019,240.39,263.75
05/21/2019,223.74,214.75
09/30/2019,56.21,351.1
02/05/2019,209.35,281.47
04/07/2019,179.33,264.93
10/24/2019,476.78,283.97
06/01/2019,162.6,177.1
09/20/2019,101.27,194.9
03/30/2019,493.3,278.15
08/26/2019,115.2,301.4
06/17/2019,402.62,302.9
06/07/2019,22.3,152.61
02/03/2019,178.55,253.51
06/02/2019,307.93,178.93
04/05/2019,8.7,299.88
07/03/2019,497.12,155.3
09/13/2019,20.49,265.69
04/20/2019,294.47,298.77
04/08/2019,451.71,272.08
02/23/2019,286.78,218.12
08/05/2019,452.32,279.42
03/19/2019,159.04,194.23
11/04/2019,375.03,223.64
09/29/2019,261.04,345.5
07/16/2019,211.43,291.53
07/14/2019,217.7,263.01
02/19/2019,130.35,223.71
07/27/2019,4.98,280.8
11/01/2019,356.45,241.6
06/11/2019,170.08,164.85
04/01/2019,401.66,290.97
05/18/2019,47,134.89
12/20/2019,401.92,271.64
02/24/2019,18.35,161.95
10/14/2019,204.16,276.34
05/26/2019,295.14,248.07
06/13/2019,0.2,181.84
07/26/2019,276.31,324.54
08/19/2019,287.44,212.45
03/26/2019,134.23,268.14
03/07/2019,22.42,207.22
02/20/2019,325.2,209.47
05/30/2019,24.6,210.58
03/05/2019,137.12,225.73
09/11/2019,49.13,356.32
02/27/2019,92.52,105.12
01/14/2019,459.92,284.72
10/05/2019,482.01,292.98
08/11/2019,80.64,237.47
07/15/2019,476,287.78
08/02/2019,312.46,230.71
08/25/2019,340.15,326.01
01/03/2019,21,
05/02/2019,234.64,237.37
02/21/2019,273.53,235.81
06/06/2019,267.59,188.68
03/11/2019,0.57,192.61
06/10/2019,241.36,169.23
10/10/2019,130.34,257.23
04/14/2019,468.5,277.98
07/02/2019,167.57,133.83
08/28/2019,62.6,248.37
12/18/2019,48.26,263.34
02/01/2019,142.69,225.36
04/04/2019,142.88,333.96
03/02/2019,299.03,169.59
12/12/2019,381.17,193.25
01/20/2019,490.24,357.67
08/23/2019,347.75,265.93
11/07/2019,373.27,290.38
08/07/2019,457.38,264.06
10/28/2019,456.81,346.61
05/12/2019,31.43,293.92
10/21/2019,256.6,247.73
03/03/2019,61.09,175.7
09/23/2019,17.01,162.59
09/02/2019,36.86,144.42
09/24/2019,450.09,217.05
12/04/2019,359.74,286.55
08/21/2019,142.4,212.84
03/23/2019,419.74,246.09
06/08/2019,0.26,129.42
09/10/2019,429.76,395.37
11/24/2019,49.22,180.64
11/10/2019,397.78,257.31
01/16/2019,155.4,320.24
11/15/2019,249.46,237.72
07/05/2019,54.92,155.13
09/09/2019,393.84,401.04
04/26/2019,232.47,279.54
06/22/2019,173.4,300.43
12/01/2019,324.42,234.01
03/21/2019,409.07,226.36
08/15/2019,238.76,201.65
08/29/2019,171.81,204.32
11/26/2019,295.1,161.88
02/17/2019,411.54,296.96
05/17/2019,247.63,186.47
12/10/2019,141.61,212.3
11/16/2019,167.11,245.66
04/09/2019,202.51,243.28
05/15/2019,94.83,189.49
10/17/2019,224.6,277.22
01/17/2019,32.43,309.11
07/08/2019,302.64,255.96
07/23/2019,315.29,352.79
04/13/2019,492.68,236.67
03/25/2019,439.91,271.68
11/21/2019,373.17,272.82
04/15/2019,438.16,276.05
04/21/2019,404.69,289.65
03/01/2019,309.88,167.84
11/18/2019,336.55,276.41
06/05/2019,68.48,153.97
02/13/2019,424.93,359.71
05/09/2019,238.64,346
07/01/2019,145.23,148.88
09/05/2019,450.31,286.09
06/14/2019,481.58,247.45
11/11/2019,177.31,229.06
10/27/2019,238.87,318.01
06/20/2019,476.22,369.33
03/13/2019,98.94,162.48
01/02/2019,50.69,
11/09/2019,111.56,224.18
01/31/2019,477.84,215.98
10/15/2019,303.19,287.98
07/17/2019,470.97,302.33
10/03/2019,492.71,291.58
07/31/2019,401,246.06
04/25/2019,401.42,269.6
12/14/2019,380.89,167.6
07/29/2019,125.16,267.96
10/16/2019,130.34,263.76
09/25/2019,486.4,252.3
08/03/2019,235.53,263.64
10/30/2019,154.33,307.91
02/12/2019,305.95,303.04
01/11/2019,499.67,277.4
06/23/2019,60.26,261.62
06/28/2019,27.46,229.51
11/22/2019,155.57,259.41
04/23/2019,428.62,253.84
07/24/2019,459.22,351.11
09/19/2019,282.95,183.36
12/21/2019,249.97,252.94
04/18/2019,110.52,318.51
06/30/2019,0.34,196.92
09/04/2019,322.5,246.31
01/28/2019,46.78,205.94
11/20/2019,122.82,236.94
12/30/2019,59.52,122.64
11/12/2019,473.9,270.5
02/22/2019,2.71,196.04
08/27/2019,16.11,259.77
02/04/2019,318.88,292.38
05/28/2019,320.68,238.68
09/15/2019,346.36,219.72
09/06/2019,322.03,263.42
10/26/2019,447.43,306.67
06/15/2019,279.08,287.28
04/29/2019,128.29,264.22
06/24/2019,481.55,272.9
07/18/2019,293.94,274.19
08/22/2019,480.2,247.33
10/07/2019,173.76,302.82
09/03/2019,469.44,209.18
08/04/2019,155.28,232.68
12/08/2019,74.95,289.98
11/06/2019,101.72,240.99
01/01/2019,20.25,
04/12/2019,102.89,200.63
02/06/2019,28.23,216.94
12/24/2019,228.5,272.89
01/22/2019,340.57,348.83
01/08/2019,263.59,194.57
10/23/2019,419.66,247.94
01/09/2019,68.63,197.13
12/31/2019,176.79,115.25
01/30/2019,479.94,201.42
01/19/2019,494.34,333.68
09/14/2019,181,221.97
09/08/2019,362.12,350.04
02/08/2019,14.48,185.94
08/24/2019,376.6,294.56
02/14/2019,89.1,316.86
06/12/2019,454.77,220.03
09/22/2019,27.03,180.76
12/11/2019,161.79,184.03
10/11/2019,245.87,252.28
02/11/2019,433.85,289.24
05/14/2019,129.74,245.45
01/05/2019,174.49,
08/31/2019,102.73,184.2
04/03/2019,477.45,359.18
05/27/2019,45,224.83
05/07/2019,258.11,337.92
