Ingredients Position,Ingredients Split-1,Ingredients Split,Cocktails,Cocktail Price,Avg Ingredient Price
1,Beefeater London Dry Gin,Beefeater London Dry Gin,SPECIAL - COLD PRESSED NEGRONI,8.7,9
1,Prosecco,Prosecco,PEACH BELLINI,7,7.8
1,Havana Club Anejo Especial Rum,Havana Club Anejo Especial Rum,DARK DAQUIRI,7.9,8.25
1,Beefeater Strawberry London Gin,Beefeater Strawberry London Gin,BRICK SPRITZ,8.6,8.6
1,Olmeca Resposado Tequila,Olmeca Resposado Tequila,BLOODY TOMMY,8.6,8.6
1,Havana Club Anejo Especial Rum,Havana Club Anejo Especial Rum,PEACHY BLINDER,8.6,8.25
1,Bulleit Bourbon,Bulleit Bourbon,MR VALENTINE SOUR,8.8,8.8
1,Absolut Vodka,Absolut Vodka,ESPRESSO MARTINI,8.8,8.8
1,Chivas Regal 12 Yr Old Scotch,Chivas Regal 12 Yr Old Scotch,BROCKLEY STING,8.8,8.8
1,House Infused Chilli Absolut Vodka,House Infused Chilli Absolut Vodka,PASSION FRUIT & CHILLI MARTINI,8.8,8.8
1,Wild Turkey 101 Bourbon,Wild Turkey 101 Bourbon,MAPLE OLD FASHIONED,9,9
1,Louis Boyier Brut Champagne,Louis Boyier Brut Champagne,FRENCH 75,9.5,9.5
1,Blood Orange,Blood Orange,BLOOD ORANGE & MINT SLING MOCKTAIL,4,6.3
2,Cold Pressed Caravan Coffee Campari,Cold Pressed Caravan Coffee Campari,SPECIAL - COLD PRESSED NEGRONI,8.7,8.7
2,White Peach,White Peach,PEACH BELLINI,7,7
2,Angostura Bitters,Angostura Bitters,DARK DAQUIRI,7.9,8.45
2,Limoncello,Limoncello,BRICK SPRITZ,8.6,8.6
2,Blood Orange,Blood Orange,BLOODY TOMMY,8.6,6.3
2,Wray and Nephew Over-Proof Rum,Wray and Nephew Over-Proof Rum,PEACHY BLINDER,8.6,8.6
2,Disaronno,Disaronno,MR VALENTINE SOUR,8.8,8.8
2,Kahlua,Kahlua,ESPRESSO MARTINI,8.8,8.8
2,Beefeater London Dry Gin,Beefeater London Dry Gin,BROCKLEY STING,8.8,9
2,Passionfruit,Passionfruit,PASSION FRUIT & CHILLI MARTINI,8.8,8.8
2,Maple Syrup,Maple Syrup,MAPLE OLD FASHIONED,9,9
2,Beefeater London Dry Gin,Beefeater London Dry Gin,FRENCH 75,9.5,9
2,Lemon,Lemon,BLOOD ORANGE & MINT SLING MOCKTAIL,4,6.75
5,Mint,Mint,BRICK SPRITZ,8.6,7.066666667
5,Lime,Lime,PEACHY BLINDER,8.6,8.55
5,Egg White,Egg White,MR VALENTINE SOUR,8.8,8.8
5,House Ginger Syrup,House Ginger Syrup,BROCKLEY STING,8.8,8.8
6,Lime,Lime,BRICK SPRITZ,8.6,8.55
6,Orange Bitters,Orange Bitters,MR VALENTINE SOUR,8.8,8.8
3,Punt E Mes Vermouth,Punt E Mes Vermouth,SPECIAL - COLD PRESSED NEGRONI,8.7,8.7
3,Peach Bitters,Peach Bitters,PEACH BELLINI,7,7
3,Lime,Lime,DARK DAQUIRI,7.9,8.55
3,Prosecco,Prosecco,BRICK SPRITZ,8.6,7.8
3,Blue Agave Nectar,Blue Agave Nectar,BLOODY TOMMY,8.6,8.6
3,Peach,Peach,PEACHY BLINDER,8.6,8.6
3,Taylor's LBV Port,Taylor's LBV Port,MR VALENTINE SOUR,8.8,8.8
3,Caravan Coffee Market Blend Espresso,Caravan Coffee Market Blend Espresso,ESPRESSO MARTINI,8.8,8.8
3,Honey,Honey,BROCKLEY STING,8.8,8.8
3,Peach Syrup,Peach Syrup,PASSION FRUIT & CHILLI MARTINI,8.8,8.8
3,Angostura Bitters,Angostura Bitters,MAPLE OLD FASHIONED,9,8.45
3,Lemon,Lemon,FRENCH 75,9.5,6.75
3,Mint,Mint,BLOOD ORANGE & MINT SLING MOCKTAIL,4,7.066666667
4,Sugar,Sugar,DARK DAQUIRI,7.9,7.9
4,Elderflower,Elderflower,BRICK SPRITZ,8.6,8.6
4,Lime,Lime,BLOODY TOMMY,8.6,8.55
4,Mint,Mint,PEACHY BLINDER,8.6,7.066666667
4,Lime,Lime,MR VALENTINE SOUR,8.8,8.55
4,Lime,Lime,BROCKLEY STING,8.8,8.55
4,Orange Twist,Orange Twist,MAPLE OLD FASHIONED,9,9
4,Soda,Soda,BLOOD ORANGE & MINT SLING MOCKTAIL,4,4
