Pre/Post Valentines Day,Store,Date,Daily Store Sales,Running Total Sales
Pre,Leeds,02/10/2019,238,2952
Pre,York,02/09/2019,585,1383
Post,York,02/19/2019,63,283
Pre,York,02/07/2019,134,427
Pre,York,02/11/2019,484,2609
Post,Leeds,02/17/2019,94,552
Post,Leeds,02/18/2019,294,846
Post,York,02/23/2019,84,475
Post,Leeds,02/27/2019,163,2306
Pre,York,02/03/2019,121,177
Post,York,02/16/2019,84,97
Post,Leeds,02/22/2019,92,1498
Post,Leeds,02/23/2019,293,1791
Post,York,02/26/2019,242,868
Pre,York,02/02/2019,23,56
Post,York,02/17/2019,29,126
Pre,York,02/05/2019,49,255
Pre,Leeds,02/04/2019,348,789
Post,Leeds,02/24/2019,29,1820
Pre,Leeds,02/07/2019,585,1982
Pre,York,02/10/2019,742,2125
Post,York,02/20/2019,23,306
Post,York,02/28/2019,73,1033
Pre,York,02/14/2019,932,4960
Pre,Leeds,02/14/2019,283,5074
Pre,York,02/12/2019,585,3194
Post,Leeds,02/19/2019,238,1084
Pre,Leeds,02/09/2019,348,2714
Post,Leeds,02/28/2019,129,2435
Post,Leeds,02/26/2019,194,2143
Post,Leeds,02/15/2019,329,329
Pre,Leeds,02/06/2019,374,1397
Pre,Leeds,02/01/2019,130,130
Post,Leeds,02/25/2019,129,1949
Post,York,02/25/2019,128,626
Pre,Leeds,02/08/2019,384,2366
Pre,York,02/08/2019,371,798
Pre,Leeds,02/05/2019,234,1023
Pre,York,02/04/2019,29,206
Post,York,02/21/2019,57,363
Pre,Leeds,02/02/2019,174,304
Post,Leeds,02/16/2019,129,458
Post,York,02/22/2019,28,391
Pre,York,02/01/2019,33,33
Post,Leeds,02/21/2019,129,1406
Post,York,02/27/2019,92,960
Pre,Leeds,02/12/2019,696,4105
Pre,Leeds,02/11/2019,457,3409
Post,York,02/15/2019,13,13
Pre,York,02/06/2019,38,293
Pre,York,02/13/2019,834,4028
Post,York,02/24/2019,23,498
Post,York,02/18/2019,94,220
Pre,Leeds,02/13/2019,686,4791
Post,Leeds,02/20/2019,193,1277
Pre,Leeds,02/03/2019,137,441
