Contact Method,Statement?,True Date,Balance?,Complaint?,Policy Number,Customer ID
Email,1,06/24/2019,0,0,2080,72617
Call,0,06/24/2019,0,0,4030,39822
Call,0,06/24/2019,1,0,4899,29439
Call,0,06/25/2019,1,0,4899,29439
Email,0,06/25/2019,0,1,2001,12219
Email,1,06/26/2019,0,0,4002,34399
Email,0,06/28/2019,0,0,4899,29439
Email,0,06/28/2019,0,0,2080,72617
Call,0,06/17/2019,1,0,4899,29439
Call,0,06/18/2019,0,0,4030,39822
Email,0,06/18/2019,0,0,2381,83219
Call,0,06/18/2019,0,1,3001,27316
Email,0,06/19/2019,0,1,2001,12219
Call,0,06/20/2019,0,0,4030,39822
Email,0,06/20/2019,0,0,9220,49291
Email,0,06/21/2019,0,0,6090,40201
